fecha,dia,year,horario,festividad,tipo_accidente,lesividad,meteo,distrito,direccion,lon,lat
2019-01-01 14:00:00,2019-01-01 00:00:00,2019,Tarde,Festivo,Colision,Moderada,Despejado,SALAMANCA,CALLE CASTELLO / CALLE DON RAMON DE LA CRUZ Madrid,-3.6812089999999995,40.4289896
2019-01-02 21:00:00,2019-01-02 00:00:00,2019,Noche,Laborable,Colision,Grave,Despejado,HORTALEZA,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES Madrid,-3.6545272000000004,40.4669207
2019-01-03 14:00:00,2019-01-03 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,VILLA DE VALLECAS,CALLE FELIPE ALVAREZ 10 Madrid,-3.6234229,40.3819706
2019-01-03 13:00:00,2019-01-03 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,-3.608275599999999,40.377939000000005
2019-01-03 13:00:00,2019-01-03 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,-3.608275599999999,40.377939000000005
2019-01-03 10:00:00,2019-01-03 00:00:00,2019,Mañana,Laborable,Caida,Moderada,Despejado,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA 1 Madrid,-3.7207176,40.4581905
2019-01-04 17:00:00,2019-01-04 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CHAMARTÍN,CALLE PRADILLO 26 Madrid,-3.6733582,40.4486812
2019-01-04 14:00:00,2019-01-04 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,MORATALAZ,CALLE CAÑON DEL RIO LOBOS 7A Madrid,-3.630845399999999,40.4067492
2019-01-07 14:00:00,2019-01-07 00:00:00,2019,Tarde,Festivo,Colision,Leve,Despejado,FUENCARRAL-EL PARDO,CALLE NUESTRA SEÑORA DE VALVERDE / CALLE DOCTOR JUAN BRAVO Madrid,-3.687132,40.49350020000001
2019-01-08 21:00:00,2019-01-08 00:00:00,2019,Noche,Laborable,Imprudencia,Leve,Despejado,ARGANZUELA,CALLE PUERTO DE LA CRUZ VERDE 49 Madrid,-3.685983199999999,40.3859037
2019-01-08 21:00:00,2019-01-08 00:00:00,2019,Noche,Laborable,Imprudencia,Leve,Despejado,ARGANZUELA,CALLE PUERTO DE LA CRUZ VERDE 49 Madrid,-3.685983199999999,40.3859037
2019-01-08 13:00:00,2019-01-08 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,FUENCARRAL-EL PARDO,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE Madrid,-3.6938236000000004,40.5112874
2019-01-09 15:00:00,2019-01-09 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CARABANCHEL,CALLE ANTONIO DE LEYVA 84 Madrid,-3.7174108999999995,40.3875277
2019-01-09 13:00:00,2019-01-09 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE GRAN VIA 66 Madrid,-3.7089377999999997,40.4224128
2019-01-10 20:00:00,2019-01-10 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,ARGANZUELA,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALLE GASOMETRO Madrid,-3.713856599999999,40.403684999999996
2019-01-11 16:00:00,2019-01-11 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE GRAN VIA / CALLE SAN BERNARDO Madrid,-3.7078966,40.4215151
2019-01-12 23:00:00,2019-01-12 00:00:00,2019,Noche,Vispera,Imprudencia,Leve,Despejado,LATINA,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALLE SECOYA Madrid,-3.7421900000000003,40.372737
2019-01-12 22:00:00,2019-01-12 00:00:00,2019,Noche,Vispera,Colision,Leve,Despejado,CARABANCHEL,CALLE GENERAL RICARDOS / GTA. VALLE DE ORO Madrid,-3.7315047999999997,40.3886749
2019-01-12 22:00:00,2019-01-12 00:00:00,2019,Noche,Vispera,Imprudencia,Moderada,Despejado,CARABANCHEL,AVDA. POBLADOS / CALLE SECOYA Madrid,-3.7421900000000003,40.372737
2019-01-12 13:00:00,2019-01-12 00:00:00,2019,Tarde,Vispera,Colision,Leve,Despejado,VILLA DE VALLECAS,AVDA. ENSANCHE DE VALLECAS 44 Madrid,-3.6084862999999996,40.3677001
