artista,nombre,ironhacker,letra
Hocus Pocus,Hip Hop ?,ferqwertyuiop,"[Intro]
That's what it is, uh huh
Nick Wiz, turn my headphones up, man
Uh, uh

[Hook]
Ayo, if you miss Hip-Hop, then stand up
Reminisce when this drop, get amped up
Any hit that's this hot is an anthem
Do ya' dance, love, she need a hand, breh
Lyricist that spit pop get stamped up
Hit or miss, then flip-flop, them clam up
They fearing this to hit blocks and slam clubs
Put yo' hands up, here ya' man come

[Verse 1]
Its mister word renowned with the best verse
One of the illest the streets, from the east to the west, heard
Get greeted with ghetto gestures like ""yessir""
A pre-meditated killer for the way I stretch words
Some of us love to flow 'til the club close
And some in love with blow for the love of dough
In it for fortune and fame, flamboyant for gurls
They extorting the game, exploiting the hood
Rappers ride for bread while the gossip spread
It's only hot cause we ride, spotted cops with feds
Plus, lots of heads go Pop instead
That's the word on the block is, ""Hip-Hop Is Dead""
So consumers quit copping, rappers flip-flopping
Artist pimped by they labels like a slave pick cotton
Pop Charts killing underground Hip-Hopers
While the world still looking for Ra like Bin Laden, let's go

[Hook]
Ayo, if you miss Hip-Hop, then stand up
Reminisce when this drop, get amped up
Any hit that's this hot is an anthem
Do ya' dance, love, she need a hand, breh
Lyricist that spit pop get stamped up
Hit or miss, then flip-flop, them clam up
They fearing this to hit blocks and slam clubs
Put yo' hands up, here ya' man come

[Verse 2]
Me and my dude's the new cool in the game
That Old-School feel with the New-School slang
The boomerang with the true duke flame
Shoot through yo' brain like smoking poom-shoong-pang
Ghetto galactic, the next level and back shit
Something like heroine, crack, mixed
The combination of Mike and Lebron, the life of a don
Yeah, just give the God the mic and it's on
My brand new vision gives you aneurisms
My fans'll listen, see my words like its camera's in 'em
We just anxious to bust like a new fo'-pound
So, the hood is reacquainted to the New York sound
Every verse is a mountain of proof, a man of my words
Even on the curb when I'm out of the booth
My style's the truth, unlimited amounts to produce
And my flow still tight when I'm about to get loose, let's go

[Hook]
Ayo, if you miss Hip-Hop, then stand up
Reminisce when this drop, get amped up
Any hit that's this hot is an anthem
Do ya' dance, love, she need a hand, breh
Lyricist that spit pop get stamped up
Hit or miss, then flip-flop, them clam up
They fearing this to hit blocks and slam clubs
Put yo' hands up, here ya' man come

[Verse 3]
The boogey-down, the buck-town mic flavor
I'm in yo' hoods like neighbors
Operation shut down, 0-60 like ""later""
It's rider, up-town, high-top, nike lacer
In the gut of the beast where they don't dwell
The gut of the streets but they don't sell
I still hold mics and stay so real
My flow tight with mo' sight's than AOL
I change climates like a plane pilot
Cause hurricanes and rain violent
Crack yo' skull, snatch yo' brain out it, uou out ya' mind if it ain't talent
And keep it out yo' rhymes if you ain't bought it
Raps tsunami, the track's behind me
Cats that try me, the raps too grimey
I rap a mami in black Armani
Clap with a body and tap punani

[Hook]
Ayo, if you miss Hip-Hop, then stand up
Reminisce when this drop, get amped up
Any hit that's this hot is an anthem
Do ya' dance, love, she need a hand, breh
Lyricist that spit pop get stamped up
Hit or miss, then flip-flop, them clam up
They fearing this to hit blocks and slam clubs
Put yo' hands up, here ya' man come"
rusowsky,So So,ferqwertyuiop,"[Intro]
Why is it hard on my own though
Why am I not like her, a bit more so-so
Why must the curtains come down (Why must the curtains come down)
As often as now

[Verse 1]
In the end I wish to leave something special
Let them talk, as long as my name is on their lips
Call me misty
Mysterious
(As often as now)

[Chorus]
Why is it hard on my own though
Why am I not like her, a bit more so-so (as often as now)
Why must the curtains come down (Why must the curtains come down, as often as now, as often as now)
Why is it hard on my though

Why is it hard on my own though
Why am I not like her, a bit more so-so (as often as now)
Why must the curtains come down, as often as now (Why must the curtains come down, as often as now, as often as now)

[Verse 2]
In thе end, I wish to be someonе better
Help me with this comparison
Call me misty
Mysterious
(Mysterious)

Why am I not like her (as often as now)

[Chorus]
Why is it hard on my own though
Why am I not like her, a bit more so-so
Why must the curtains come down (Why must the curtains come down, as often as now, as often as now)
Why am I not like her (as often as now)

[Outro]
In the end, I wish to be something special
In the end, I wish to be so much better (so-so; as often as now)
In the end, I wish to be, I wish to be me"
Dominic Fike,Phone Numbers,ferqwertyuiop,"[Intro]
Can you break bread with me?
Break bread with me, break, break
Can you break bread with me?
Break bread with me
Woah, Kenny

[Chorus]
Why you not here with me?
Can you break bread with me?
Why you switch phone numbers like clothes?
Why you can't answer me? (Yeah)
'Cause I got more coming
Why you not here with me? (Why? Why?)
Can you break bread with me? (Oh)
Why you switch phone numbers like clothes? (Uh)
Why you can't answer me? (Yeah, why?)
'Cause I got more coming

[Verse 1]
Yes, I moved my shawty from Florida to Hollywood
Bought some gold, shit look big on me
Got some goals, it's a list on me
Yeah, lil' bitch, I'm rich off rock 'n' roll
The strippers and the strobe playin' tricks on me
The stones hittin' different, you supposed to be pissed at me (No)
They from Tiffany (Please)
Keep my name out yo mouth like some wisdom teeth
(And you wonder why) Why I'm not there with you
(I ain't answered my phone in so long)

[Chorus]
Why you not here with me?
Can you break bread with me?
Why you switch phone numbers like clothes?
Why you can't answer me? (Yeah)
'Cause I got more coming
Why you not here with me? (Why? Why?)
Can you break bread with me?
Why you switch phone numbers like clothes?
Why you can't answer me? (Yeah, why?)
'Cause I got more coming

[Post-Chorus]
Can you break bread with me?
Break, break bread with me (Yeah, okay)
Break, break, can you break bread with me?
Break bread with me (Huh)
Can you break bread with me?

[Verse 2]
And yes, I moved lil' shawty from 'round me, she been all in my business as of late
I got rich so goddamn fast, they want this bread, can't catch a break
And yes, I know you tired of hatin', I'm tired of starin' at your face
And if a bitch retaliate, we can go tit-for-tat today
That's on my momma, that's on big Sean, that's on Lil' A from FLA
Out here in LA, tryna make shit shake, tryna wrap this case (Ho)
That's a whole hundred twenty K to the magistrate for my parents' sake
And you still talkin' 'bout sharing cake, shut the fuck up

[Chorus]
Why you not here with me?
Can you break bread with me?
Why you switch phone numbers like clothes?
Why you can't answer me? (Yeah)
'Cause I got more coming
Why you not here with me? (Why?)
Can you break bread with me? (Oh)
Why you switch phone numbers like clothes? (Uh)
Why you can't answer me? (Yeah)
'Cause I got more coming

[Outro]
Can you break bread with me?
Break, break bread with me (Okay)
Break, break, can you break bread with me?
Break bread with me"
Renaldo & Clara,L'amor fa calor,ferqwertyuiop,"Oh oh l'amor oh oh fa calor oh oh
Oh oh l'amor oh oh fa calor oh oh

S'aparten els núvols
Sol encegador
Arriba directe
Amb cap solució

Et tapes la cara
Del tot sospitós
A dalt hi ha un sostre
Enorme i preciós

Oh oh l'amor oh oh fa calor oh oh
Oh oh l'amor oh oh fa calor oh oh

Tot el que toques
Es torna foc
Enmig les flames
Explota el cor

Agafes aire
T'agafes fort
Amb quines ganes
Surt volant tot
El nom de les coses
El vull triar jo
A partir d'ara

Això no és cap broma
És la febre de l'or
Destries la sorra
I et quedes lo bo

L'amor fa calor oh oh (oh oh)
Oh oh l'amor oh oh fa calor oh oh

Tot el que toques
Es torna foc
Enmig les flames
Explota el cor

Agafes aire
T'agafes fort
Amb quines ganes
Surt volant tot

Tot el que toques
Es torna foc
Enmig les flames
Explota el cor
Agafes aire
T'agafes fort
Amb quines ganes
Surt volant tot

L'amor fa calor
L'amor fa calor
(oh oh) oh oh fa calor"
KYTES,Alright,ferqwertyuiop,"[Produced by Pharrell Williams & Sounwave]
[Directed by Colin Tilley]

[Intro: Kendrick Lamar]
Alls my life, I has to fight, nigga
Alls my life, I...
Hard times like, ""Yah!""
Bad trips like, ""Yah!""
Nazareth
I'm fucked up, homie, you fucked up
But if God got us, then we gon' be alright

[Chorus: Pharrell Williams]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Verse 1: Kendrick Lamar]
Uh, and when I wake up
I recognize you're looking at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down?
Schemin', and let me tell you 'bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my momma I love her, but this what I like, Lord knows
Twenty of 'em in my Chevy, tell 'em all to come and get me
Reaping everything I sow, so my karma coming heavy
No preliminary hearings on my record
I'm a motherfucking gangster in silence for the record, uh
Tell the world I know it's too late
Boys and girls, I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say
[Pre-Chorus: Kendrick Lamar]
Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street fo sho'
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright

[Chorus: Pharrell Williams]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Verse 2: Kendrick Lamar]
What you want you, a house⁠? You, a car?
40 acres and a mule? A piano, a guitar?
Anything, see my name is Lucy, I'm your dog
Motherfucker, you can live at the mall
I can see the evil, I can tell it, I know it's illegal
I don't think about it, I deposit every other zero
Thinking of my partner, put the candy, paint it on the Regal
Digging in my pocket, ain't a profit big enough to feed you
Every day my logic get another dollar just to keep you
In the presence of your chico... Ah!
I don't talk about it, be about it, every day I sequel
If I got it then you know you got it, Heaven, I can reach you
Pat Dawg, Pat Dawg, Pat Dawg, my dog, that's all
Bick back and Chad, I trap the bag for y'all
I rap, I black on track so rest assured
My rights, my wrongs; I write 'til I'm right with God
[Pre-Chorus: Kendrick Lamar]
Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street fo sho'
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright

[Chorus: Pharrell Williams]
Nigga, we gon' be alright
Nigga, we gon' be alright
We gon' be alright
Do you hear me, do you feel me? We gon' be alright
Nigga, we gon' be alright
Huh? We gon' be alright
Nigga, we gon' be alright
Do you hear me, do you feel me? We gon' be alright

[Outro: Kendrick Lamar & Thundercat]
I keep my head up high
I cross my heart and hope to die
Lovin' me is complicated
Too afraid of a lot of changes
I'm alright, and you're a favorite
Dark nights in my prayers
[Poem: Kendrick Lamar]
I remembered you was conflicted
Misusing your influence, sometimes I did the same
Abusing my power, full of resentment
Resentment that turned into a deep depression
Found myself screamin' in the hotel room
I didn't wanna self-destruct
The evils of Lucy was all around me
So I went runnin' for answers"
La Fúmiga,Primera conjugació,soyungalgo,"Se desplazo mi centro de gravedad
Ya no soy la prioridad
Vas a vivir la vida por alguien más
Con el egoísmo acabaras

Ya yo no yo no
Ahora somos nosotros
Nosotras

Ando tomando clases de español
Perfecciono la conjugación
Ayer primera persona del singular
Hoy el parche es plural

Ya yo no yo no
Ahora somos nosotros

Ya el no
Nosotros
Ya ellos no
Nosotros
Ya tu no
Nosotros..."
Bob Marley & The Wailers,Jamming - Tropkillaz Remix,soyungalgo,"[Intro] [MC Lyte]
This struggle continues (x2)

[Chorus]
We jamming (Bob Marley, Bob Marley)
I want to jam it with you
We jamming (Bob Marley, Bob Marley)
I hope you like jamming too

[Bob Marley]
There is no rules, there is no vows we could do it anyhow
I and I will see you through
Because everyday we pay the price, with a living sacrifice
Jamming until the jam is through
We jamming, to think that jamming was a thing of the past
We jamming and I hope the jam is going to last

No bullet could stop us now, we neither beg nor we won't bow
Neither can't be bought nor sold
We all defend the right, Jah, Jah children must unite
Whose life is worth much more than gold

[Chorus]
Holy Mount Zion
Holy Mount Zion
Jah sitteth in Mount Zion
And rules all creation

[Bob Marley]
The mighty will te try, the truth it cannot hide
To keep you satisfied
Love that does exist, is the one the Lord presist
So jam by my side

[MC Lyte]
We jamming on the one for the daughters and sons
No the struggle is not over til the battle is won
Hip-Hop is life but it isn't all to me now
Where will we be if they take our mic from we
Or better yet strip us from life itself
They done-done it before so I sit behind the door
Those that claim but don’t really know the game
Bob Marley, know the man behind the name (yeah!)

[Chorus]

[MC Lyte]
J-A double M-I-N
We be jammin from Brooklyn down to Kingston
We be jammin in the name of the lord, sweet Allah
Without the blessings from above I ‘naw be no rap star
Exodus when i bust
See the struggle i must
Realize it ain't just
But whats next
On the cusp all soldiers at war
Steadily ignored
Still we ain't sure
What the battle is for
Years ago when we toured
Ready to explore
Entered through back doors
Treated like stink-manure
Spoke up for rights, we were cracked in the jaw
Elvis made a bundle while we remained poor (yes)
We remained poor
But we be jammin (yes)

[Bob Marley]
I and I will see you through

[MC Lyte]
We be jammin
Come a long way, but we still not there yet

[Bob Marley]
I and I will see you through

[MC Lyte]
The struggle continues

[Bob Marley]
Jam’s about my pride and truth I cannot hide
To keep you satisfied
True love that now exist is the love I can’t resist
So jam by my side
We’re jammin (we’re jammin)
And we’re jammin in the name of the lord (in the name of the lord)
We’re jammin (we’re jammin)
We’re jammin right straight god (from god)
Holy mount zyon, we’re jammin right straight from god
Holy mount zyon, we’re jammin right straight from god
Holy mount zyon, we’re jammin right straight from god
Holy mount zyon, we’re jammin right straight from god
Yes, (Iya)
I and I will see you through
I and I will see you through
I and I will see you through

[Chorus]

[Outro]
We jamming (Know the man behind the name)
Hope you like jamming too"
Rufus T. Firefly,Incendiosuicida,soyungalgo,"[Chorus]
Help me polarize, help me polarize, help me down
Those stairs is where I'll be hidin' all my problems
Help me polarize, help me polarize, help me out
My friends and I, we got a lot of problems

[Verse 1]
You know where I'm coming from
Though I am running to you
All I feel is deny, deny, denial

[Pre-Chorus]
I wanted to be a better brother, better son
Wanted to be a better adversary to the evil I have done
I have none to show to the one I love
But deny, deny, denial

[Chorus]
Help me polarize, help me polarize, help me down
Those stairs is where I'll be hidin' all my problems
Help me polarize, help me polarize, help me out
My friends and I, we got a lot of problems

[Verse 2]
Polarize is taking your disguises
Separating 'em, splitting 'em up from wrong and right
It's deciding where to die and deciding where to fight
Deny, deny, denial
[Pre-Chorus]
I wanted to be a better brother, better son
Wanted to be a better adversary to the evil I have done
I have none to show to the one I love
But deny, deny, denial

[Chorus]
Help me polarize, help me polarize, help me down
Those stairs is where I'll be hidin' all my problems
Help me polarize, help me polarize, help me out
My friends and I, we got a lot of problems

[Refrain]
Ah-da-da, da-da, da-da da-da
Ah-da-da, da-da, we have problems
Ah-da-da, da-da, da-da da-da
Ah-da-da, da-da, we have problems

[Bridge]
Domingo en fuego
I think I lost my halo
I don't know where you are
You'll have to come and find me, find me
Domingo en fuego
I think I lost my halo
I don't know where you are
You'll have to come and find me, find me
[Refrain]
Ah-da-da da-da da-da da-da
Ah-da-da da-da, we have problems
Ah-da-da da-da da-da da-da
Ah-da-da da-da, we have problems

[Chorus]
Help me polarize, help me polarize, help me out
My friends and I have problems
Help me polarize, help me polarize, help me out
My friends and I have problems
Help me polarize, help me polarize, help me out
My friends and I have problems
Help me polarize, help me polarize, help me out
My friends and I have problems, yeah
(We have problems)
Singing out, we're singing out, we're singing out
(We have problems)
Yeah

[Outro]
I wanted to be a better brother, better son
I wanted to be a better brother, better son
I wanted to be a better brother, better son"
Gata Cattana,Lisístrata,soyungalgo,"[Verso 1]
Yo no camelo perfumes de Nina Ricci
Soy más de libros de la Silvia Federici
Será mejor que trates mejor a esas bitches
No sea que de repente me escuchen y se compinchen
Os lo tengo dicho, os lo dejo hecho
Al punto, la teoría King Kong no apunta
Facilito tronco, deja de poner impedimentos
Deja de ser un experimento
Déjame ser otra cosa que no sea un cuerpo
Deja de follarme con los ojos ya de paso
Cuando paso por la calle sola en todo momento
Porque me cago en to'
Yo, en pleno siglo veintiuno
Que tenga que venir la Ana a rebatir a Freud
La tradición es larga desde Nietzsche hasta Unamuno
De Aristóteles a Darwin, desde Franco hasta Rajoy
De aquellos barros, estos lodos, sé por dónde voy
Que las cosas no han cambia'o demasiado a día de hoy
Haciendo make it rain a lo Hard Candy
Modus operandi, raya'os, estampa'os rollo punky

[Interludio]
Eres la puerta del demonio
Eres la que quebró el sello de aquel árbol prohibido
Eres la primera desertora de la ley divina
Eres la que convenció a aquel a quien el diablo no fue suficiente para atacar
Así de fácil destruiste la imagen de Dios y el hombre
A causa de tu deserción, mujer
[Verso 2]
Que venga Dios y lo vea
Como a Gea se la marginó
Ardió en la hoguera con tres brujas durante la Inquisición
Vale, que monten sus ministros festivales feministas contra la segregación
Alimentando el tópico con discriminación
Positiva que es mentira, no es ninguna solución
Yo hago lo que quiero bajo el ""Niña no andes sola""
Mujer en toda regla, poetisa con mayúscula
Descontrolá por la ciudad cantando hardcore
Con camisa y tacones altos
Con la moral muy por encima de sus cuentos
Como la de otras tantas putas que mueren callando

[Coro]
Y ando cayendo ya, encallándome en mi
Propia guerra civil como Lisístrata
Sin más que decir, que aportar a la causa

[Verso 3]
Rosa Luxemburgo, Campoamor, guerra amazona
Vestal romana, sendero impío hacia la vida humana
Keny Arkana, Safo, Hipatia, Parks y Hatshepsut
Yo os invoco hijas de Eva buscando una luz
Buscando una luz, buscando una luz
Yo os invoco hijas de Eva buscando una luz
Buscando una luz, buscando una luz
Yo os invoco hijas de Eva...
Desde que Prometeo les mostró el truco del fuego
Sometieron nuestro ego desde Atenas a Estambul
Tú y cuántos como tú contra estas dos titánides
Corre ve y dile a aquel que no vamos a ser tan dóciles
Imbéciles se creen que son la élite caerán
Por su propio peso cuando rescate a Eurídice
Lapídame, humíllame, si quieres ponme un burka
Arráncame la voz y el clítoris pa' ser más pulcra
Escóndeme, tápame bien ese escote impuro
No sea que te pervierta o te transporte al lado oscuro
No sea que te intoxique con mi psique de cianuro
La mujer es el diablo eso seguro, ten cuidao'
[Coro]
Y ando cayendo ya, encallándome en mi
Propia guerra civil como Lisístrata
Sin más que decir, que aportar a la causa
Un tributo a mis musas que luchan

[Outro]
Diciendo que la mujer, si no es prostituta es tonta
Pero si es que no es ninguna de las dos, lo que sí está seguro es que es mala
Las mujeres no somos ni malévolas, ni malignas
No engendramos el demonio, y tampoco somos santas
O que nos santificamos cuando llegamos a ser madres
Las mujeres somos mujeres"
Pedro LaDroga,Fantasya,soyungalgo,"[Produced by Kanye West & RZA]

[Intro: Nicki Minaj]
You might think you've peeped the scene
You haven't, the real one's far too mean
The watered-down one, the one you know
Was made up centuries ago
They made it sound all wack and corny
Yes, it's awful blasted boring
Twisted fictions, sick addiction
Well, gather 'round, children, zip it, listen

[Chorus: Justin Vernon & Teyana Taylor]
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh

[Verse 1: Kanye West]
Yeah, yeah, yeah, yeah
I fantasized 'bout this back in Chicago
Mercy, mercy me, that Murciélago
That's me the first year that I blow
How you say broke in Spanish? Mi no hablo
Me drown sorrow in that Diablo
Me found bravery in my bravado
DJs need to listen to the models
You ain't got no fuckin' Yeezy in your Serato? (You ain't got no Yeezy, nigga?)
Stupid, but what the hell do I know?
I'm just a Chi-Town nigga with a Nas flow
And my chick in that new Phoebe Philo
So much head, I woke up to Sleepy Hollow

[Chorus: Justin Vernon & Teyana Taylor]
Can we get much higher?
Oh, oh, oh
Oh, oh, oh-oh, oh

[Verse 2: Kanye West]
Look like a fat booty Celine Dion
Sex is on fire, I'm the King of Leona Lewis
Beyond the truest
Hey, teacher, teacher, tell me how do you respond to students?
And refresh the page and restart the memory?
Re-spark the soul and rebuild the energy?
We stopped the ignorance, we killed the enemy
Sorry for the night demons that still visit me
The plan was to drink until the pain over
But what's worse, the pain or the hangover?
Fresh air, rollin' down the window
Too many Urkels on your team, that's why your wins low
Don't make me pull the toys out, huh
Don't make me pull the toys
And fire up the engines, huh
And then they make noise

[Chorus: Justin Vernon & Teyana Taylor]
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh

[Bridge: Justin Vernon & Kanye West]
At the mall, there was a seance
Just kids, no parents
Then the sky filled with herons
Saw the devil in a Chrysler LeBaron
And the hell, it wouldn't spare us
And the fires did declare us
But after that, took pills, kissed an heiress
And woke up back in Paris

[Chorus: Justin Vernon & Teyana Taylor]
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh, oh

[Chorus: Justin Vernon & Teyana Taylor]
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh, oh"
