,nombre,ironhacker,artista,id_lista,nombre_lista
0,Perra,1143571176,['Rigoberta Bandini'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
1,Colectivo Nostalgia,1143571176,['La Maravillosa Orquesta del Alcohol'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
2,Cumpleaños Feliz,1143571176,['Parchis'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
3,Que se joda el viento,valledelkas018,['Marea'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
4,Gravity,edurriva,['John Mayer'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
5,Emborracharme,1143571176,['Lori Meyers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
6,Jaleo,1143571176,['Sexy Zebras'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
7,You Make My Dreams (Come True),edurriva,['Daryl Hall & John Oates'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
8,Sesenta memorias perdidas,edurriva,['Love of Lesbian'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
9,El aire de la calle,1143571176,['Los Delinquentes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
10,Veleros,edurriva,['Dorian'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
11,La Travesia,perinat,['Juan Luis Guerra 4.40'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
12,Segundo movimiento: Mierda de filosofía,perinat,['Robe'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
13,Diez Lúnulas,perinat,['Club del Río'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
14,Sunshine Reggae,baccandres,['Laid Back'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
15,School,perinat,['Supertramp'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
16,Otra Forma,dmfqkg5al92aldkj9pygau9ke,"['JM', 'Neska', 'GiGi']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
17,Shake It,dmfqkg5al92aldkj9pygau9ke,['INNDRIVE'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
18,Salió El Sol,dmfqkg5al92aldkj9pygau9ke,['Don Omar'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
19,Trozos de Mi,dmfqkg5al92aldkj9pygau9ke,"['Sharif', 'Gordo del Funk', 'Accion Sanchez']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
20,Molinos De Viento,valledelkas018,['Mägo de Oz'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
21,Bella come Roma,baccandres,['Viito'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
22,Voce me Apareceu,baccandres,['Kaleidoscopio'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
23,Parque Acuático,baccandres,['El Kuelgue'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
24,Papaya,1155460259,['Yiuliusly'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
25,"Ama, ama, ama y ensancha el alma",06uk7op5esy3r1syhomrkoisw,['Extremoduro'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
26,Old Yellow Bricks,06uk7op5esy3r1syhomrkoisw,['Arctic Monkeys'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
27,Alucinante - Versión 2005,almahelguera,['Platero Y Tu'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
28,Good Fortune,06uk7op5esy3r1syhomrkoisw,['PJ Harvey'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
29,Crucify - 2015 Remaster,06uk7op5esy3r1syhomrkoisw,['Tori Amos'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
30,Demasiao Tarde,11145453392,['C. Tangana'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
31,Persiguiéndonos,11145453392,['C. Tangana'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
32,Los Tontos,11145453392,"['C. Tangana', 'Kiko Veneno']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
33,Los Chikos de Madriz,11145453392,['C. Tangana'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
34,Tentación,11145453392,"['Agorazein', 'C. Tangana', 'Sticky M.A.']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
35,Burbujas De Amor,11152374629,['Juan Luis Guerra 4.40'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
36,Don't Stop Believin',almahelguera,['Journey'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
37,No No No,11152374629,['Beirut'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
38,De Música Ligera,11152374629,['Soda Stereo'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
39,"Sultans Of Swing - Live At Hammersmith Odeon, London/1983",almahelguera,['Dire Straits'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
40,"Highway Star - Live In Osaka, Japan / 16th August 1972 / Original 1972 Mix",valledelkas018,"['Deep Purple', 'Martin Pullan']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
41,"Strange Kind Of Woman - Live In Osaka, Japan / 16th August 1972 / Original 1972 Mix",valledelkas018,"['Deep Purple', 'Martin Pullan']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
42,While My Guitar Gently Weeps - Remastered 2009,valledelkas018,['The Beatles'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
43,Back In The U.S.S.R. - Remastered 2009,valledelkas018,['The Beatles'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
44,Ghetto Gospel,valledelkas018,['2Pac'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
45,Changes,valledelkas018,"['2Pac', 'Talent']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
46,I Can,valledelkas018,['Nas'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
47,L.A. Woman - New Stereo Mix,valledelkas018,['The Doors'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
48,Kashmir - Remaster,valledelkas018,['Led Zeppelin'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
49,Kyle (I Found You),edurriva,['Fred again..'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
50,Exoplaneta,edurriva,['Arde Bogotá'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
51,Sunday Rainy Days,edurriva,['Lost Children'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
52,"Yes Sir, I Can Boogie",edurriva,['Baccara'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
53,Desaparece,edurriva,['El Canto Del Loco'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
54,A ver qué pasa - Estrella Damm 2021,1155460259,['Rigoberta Bandini'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
55,Siempre que quiera,06uk7op5esy3r1syhomrkoisw,['Muchachito Bombo Infierno'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
56,What's Love Got to Do with It,edurriva,"['Kygo', 'Tina Turner']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
57,Scatman (ski-ba-bop-ba-dop-bop),perinat,['Scatman John'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
58,Cuerda Auxiliar,edurriva,['Besmaya'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
59,La Pared,edurriva,['Cupido'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
60,Good Morning,perinat,['Kanye West'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
61,Gimme Hope Jo'anna,06uk7op5esy3r1syhomrkoisw,['Eddy Grant'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
62,High,1155460259,['Lighthouse Family'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
63,The Bird Is the Word,1155460259,['The Ruffled Feathers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
64,One Way Or Another,06uk7op5esy3r1syhomrkoisw,['Blondie'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
65,Pikete Espacial,tgr39393,"['Cecilio G.', 'Limabeatz']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
