Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club
565000,95500000,Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF
565000,105000000,L. Messi,30,Argentina,93,93,FC Barcelona
280000,123000000,Neymar,25,Brazil,92,94,Paris Saint-Germain
510000,97000000,L. Suárez,30,Uruguay,92,92,FC Barcelona
230000,61000000,M. Neuer,31,Germany,92,92,FC Bayern Munich
355000,92000000,R. Lewandowski,28,Poland,91,91,FC Bayern Munich
215000,64500000,De Gea,26,Spain,90,92,Manchester United
295000,90500000,E. Hazard,26,Belgium,90,91,Chelsea
340000,79000000,T. Kroos,27,Germany,90,90,Real Madrid CF
275000,77000000,G. Higuaín,29,Argentina,90,90,Juventus
310000,52000000,Sergio Ramos,31,Spain,90,90,Real Madrid CF
285000,83000000,K. De Bruyne,26,Belgium,89,92,Manchester City
190000,59000000,T. Courtois,25,Belgium,89,92,Chelsea
265000,67500000,A. Sánchez,28,Chile,89,89,Arsenal
340000,57000000,L. Modri_,31,Croatia,89,89,Real Madrid CF
370000,69500000,G. Bale,27,Wales,89,89,Real Madrid CF
325000,66500000,S. Agüero,29,Argentina,89,89,Manchester City
225000,38000000,G. Chiellini,32,Italy,89,89,Juventus
110000,4500000,G. Buffon,39,Italy,89,89,Juventus
215000,79000000,P. Dybala,23,Argentina,88,93,Juventus
82000,57000000,J. Oblak,24,Slovenia,88,93,Atlético Madrid
150000,75000000,A. Griezmann,26,France,88,91,Atlético Madrid
225000,70500000,Thiago,26,Spain,88,90,FC Bayern Munich
165000,61000000,P. Aubameyang,28,Gabon,88,88,Borussia Dortmund
210000,44000000,L. Bonucci,30,Italy,88,88,Milan
215000,48000000,J. Boateng,28,Germany,88,88,FC Bayern Munich
125000,40000000,D. Godín,31,Uruguay,88,88,Atlético Madrid
215000,48000000,M. Hummels,28,Germany,88,88,FC Bayern Munich
265000,60000000,M. Özil,28,Germany,88,88,Arsenal
165000,38000000,H. Lloris,30,France,88,88,Tottenham Hotspur
175000,34000000,Thiago Silva,32,Brazil,88,88,Paris Saint-Germain
