,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Albacete,"194,628","195,289","196,277","197,566","198,757","199,991","201,197","200,918","200,286","199,729","197,673","195,338","193,310","192,016","189,705","188,417","186,329","184,457","182,952","181,811","180,539", ,"180,880"
Alicante,"927,722","920,621","925,286","934,127","939,919","976,715","974,673","969,567","964,552","958,812","943,954","911,809","890,693","866,389","831,472","820,677","785,355","755,086","734,248","717,013","706,553", ,"702,644"
Almería,"348,021","346,996","346,074","345,153","345,025","343,671","344,672","341,630","337,448","332,031","323,919","313,406","306,218","297,259","285,891","278,018","270,118","263,623","258,845","256,463","253,271", ,"251,209"
Álava,"166,693","165,220","163,886","163,354","162,349","161,795","161,908","160,186","159,030","157,401","155,259","153,419","151,629","150,334","148,430","147,709","146,609","145,214","144,228","143,848","143,245", ,"141,881"
Asturias,"537,506","541,049","544,756","549,054","553,829","556,819","560,940","562,916","563,939","564,373","561,847","559,570","560,549","560,306","558,714","559,436","558,805","559,432","560,169","564,302","562,304", ,"564,904"
Ávila,"78,960","80,026","80,884","82,045","83,017","83,800","84,831","85,619","85,168","84,960","84,979","83,741","83,528","83,091","82,715","82,444","82,187","81,588","82,201","82,818","83,119", ,"84,335"
Badajoz,"341,740","343,318","345,159","346,354","348,275","349,433","349,843","349,630","348,774","346,865","345,003","342,248","339,715","338,818","335,377","335,340","335,117","335,824","334,676","336,084","335,643", ,"332,083"
Baleares,"567,105","561,074","556,538","554,801","553,641","557,071","559,348","555,537","550,845","544,347","532,449","513,057","499,163","490,489","476,999","473,113","458,619","441,287","426,535","415,462","403,648", ,"386,488"
Barcelona,"2,875,884","2,857,416","2,837,909","2,827,562","2,824,744","2,829,522","2,829,656","2,813,471","2,800,843","2,784,798","2,748,088","2,708,794","2,693,628","2,654,840","2,605,639","2,573,319","2,507,218","2,466,638","2,436,986","2,422,777","2,404,525", ,"2,381,332"
Vizcaya,"594,749","594,013","593,234","593,943","595,133","596,874","597,305","595,594","594,365","593,484","590,326","588,102","586,362","583,884","582,025","582,162","582,156","581,814","581,849","583,870","583,833", ,"584,752"
Burgos,"178,733","179,252","180,577","181,860","183,018","184,610","185,846","186,005","185,372","185,292","183,997","181,259","180,519","179,411","177,494","177,065","175,953","174,573","173,545","173,489","173,160", ,"174,827"
Cáceres,"199,868","201,542","203,380","204,565","205,741","206,517","207,963","208,873","208,725","207,995","206,549","206,050","206,306","205,836","205,205","204,673","204,394","203,935","203,600","203,984","202,782", ,"207,661"
Cádiz,"627,357","627,244","627,031","627,190","626,835","625,722","628,478","627,654","623,906","620,610","611,851","605,511","599,415","593,117","585,435","581,732","574,760","570,016","567,142","564,118","558,364", ,"557,499"
