,Episode,Line,Character,Dialogue,Action
10707,62,153,banana guard," Ah, this is hard to watch. I'm gonna look away.",
10709,62,155,banana guard, This place could use a scarecrow.,
10711,62,157,banana guard," Uh, I-I said this place could use a scarecrow.",
10725,62,171,banana guard, She slapped my butt!,
17038,106,46,banana guard,[' I’m glad you brought this matter to the authorities mam. Now what exactly happened?'],Tree Trunks is with a Banana Guard at the police station
17040,106,48,banana guard,"  Alright, ma'am. ,  Let’s see. How do you spell your name?",He pulls out a pen and paper
17042,106,50,banana guard,  Okay.,
17044,106,52,banana guard,  Okay.,
17046,106,54,banana guard,  Okay.,
17048,106,56,banana guard,  One sec.,
17050,106,58,banana guard,  Hold on oone second.,
17058,106,66,banana guard,  Sheeelbyy! Have you been up there all day?,
17060,106,68,banana guard,"  Uhh, well can ya read somewhere else? Ya kinda offended Tree Trunks here.",
18034,113,148,banana guard, Wee-oo-wee—,"imitating a siren, a garbage can hits him and knocks him on his back"
19256,121,88,banana guard,  Banana Guard.,
19258,121,90,banana guard,"  Oh, okay, who are you tattling on?",
19260,121,92,banana guard,  Ice Kingdom? Is this the Ice King?,
19262,121,94,banana guard,"  Well uh, we hate you, so — ","Hangs up phone, laughed and the other Banana Guard snickers, then the phone rings again."
19263,121,95,banana guard,  Banana Guard.,
19265,121,97,banana guard,  Is this the Ice King?,
19267,121,99,banana guard,  Mrs. Garamblington?,
19269,121,101,banana guard,  Your wife sounds pretty old.,
19273,121,105,banana guard,"  Uh, Mr. Garamblington?",
19275,121,107,banana guard,  We'll take care of it.,
19278,121,110,banana guard,  This is a great party.,
20014,127,34,banana guard," Hey, Cinnabun!",Waving his hand
21568,137,100,banana guard, Ah! Another attack!,
21570,137,102,banana guard, My leader! Another attack!,
22347,142,52,banana guard," Yeah, a lizard. I love your show.",
22350,142,55,banana guard," Well, um, my friend is a very highly-placed official in the Candy Kingdom, and I've noticed—",
22995,146,71,banana guard, Your skin is looking lovely today.,
23006,146,82,banana guard, Aha! Huh?,
23007,146,83,banana guard, Umph.,
